,Data_Source,Camera_Count,geometry,x,y
0,Amnesty,5,POINT (-73.95673315914595 40.69288765636263),-73.95673315914595,40.69288765636263
1,Amnesty,5,POINT (-73.972852 40.629372),-73.972852,40.629372
2,Amnesty,1,POINT (-73.9656547 40.706149399999994),-73.9656547,40.706149399999994
3,Amnesty,7,POINT (-73.90359040904946 40.67201210342986),-73.90359040904946,40.67201210342986
4,Amnesty,1,POINT (-73.95975884133387 40.67575133866482),-73.95975884133387,40.67575133866482
5,Amnesty,3,POINT (-73.96172015222537 40.60466946536163),-73.96172015222537,40.60466946536163
6,Amnesty,2,POINT (-73.9540643981429 40.717287158860984),-73.9540643981429,40.717287158860984
7,Amnesty,1,POINT (-73.93974672873964 40.578242267300446),-73.93974672873964,40.578242267300446
8,Amnesty,4,POINT (-73.9193424 40.66579799999998),-73.9193424,40.66579799999998
9,Amnesty,1,POINT (-73.98104681733945 40.64495911056378),-73.98104681733945,40.64495911056378
10,Amnesty,1,POINT (-73.94542898151566 40.659000936347766),-73.94542898151566,40.659000936347766
11,Amnesty,1,POINT (-73.92242854643821 40.590240328194284),-73.92242854643821,40.590240328194284
12,Amnesty,1,POINT (-73.98749900950828 40.70379326184734),-73.98749900950828,40.70379326184734
13,Amnesty,1,POINT (-73.957119753025 40.662733881189716),-73.957119753025,40.662733881189716
14,Amnesty,1,POINT (-73.91859264274729 40.69660231374872),-73.91859264274729,40.69660231374872
15,Amnesty,1,POINT (-73.93068607574347 40.691508500516456),-73.93068607574347,40.691508500516456
16,Amnesty,1,POINT (-73.98305965338126 40.6424344587156),-73.98305965338126,40.6424344587156
17,Amnesty,1,POINT (-73.99898045532146 40.662884781231895),-73.99898045532146,40.662884781231895
18,Amnesty,2,POINT (-73.92518577806726 40.61087331893908),-73.92518577806726,40.61087331893908
19,Amnesty,2,POINT (-73.9695363178438 40.64163525923904),-73.9695363178438,40.64163525923904
20,Amnesty,3,POINT (-73.99724593506899 40.64734251058297),-73.99724593506899,40.64734251058297
21,Amnesty,2,POINT (-73.97194467217965 40.64515692268967),-73.97194467217965,40.64515692268967
22,Amnesty,3,POINT (-73.92061348491859 40.60829341057337),-73.92061348491859,40.60829341057337
