,PanoramaId,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,type_dome_median,type_bullet_median,type_unknown_median,n_cameras_agreement,attached_street_agreement,attached_building_agreement,attached_unknown_agreement,type_dome_agreement,type_bullet_agreement,type_unknown_agreement,Lat,Long,geometry_pano,BoroName,URL,ImageDate,geometry
0,--kQB7vdISN5ZhBDo82BHg,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.70663303266096,-73.93570246701009,POINT (-73.93570246701009 40.70663303266096),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=--kQB7vdISN5ZhBDo82BHg,2020-11,POINT (-73.93570246701009 40.70663303266096)
1,-0Kgxt4Lfda78gY2WuEMqA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,2 vs 1,40.63982610941098,-73.89777023441276,POINT (-73.89777023441276 40.63982610941098),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-0Kgxt4Lfda78gY2WuEMqA,2018-06,POINT (-73.89777023441276 40.63982610941098)
2,-0KlvkzMEDcLyTePpuY3sg,5,0,5,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.69288765636261,-73.95673315914595,POINT (-73.95673315914595 40.69288765636261),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-0KlvkzMEDcLyTePpuY3sg,2020-11,POINT (-73.95673315914595 40.69288765636261)
3,-0Y6fGJQcnKZ-crSKaVIfQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.66275783316144,-73.88512163867377,POINT (-73.88512163867377 40.66275783316144),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-0Y6fGJQcnKZ-crSKaVIfQ,2018-06,POINT (-73.88512163867377 40.66275783316144)
4,-0yXEvW841dBjrs54VZKIA,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,40.65539642907692,-74.00318577678686,POINT (-74.00318577678686 40.65539642907692),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-0yXEvW841dBjrs54VZKIA,2019-06,POINT (-74.00318577678686 40.65539642907692)
5,-16Jf7scZMPSc9ryxbLmQA,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.70328779575276,-73.9887437193792,POINT (-73.9887437193792 40.70328779575276),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-16Jf7scZMPSc9ryxbLmQA,2014-07,POINT (-73.9887437193792 40.70328779575276)
6,-1OXzerEaLrm8KFT8xmA0g,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.61938150107638,-74.01197244838313,POINT (-74.01197244838313 40.61938150107638),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-1OXzerEaLrm8KFT8xmA0g,2019-07,POINT (-74.01197244838313 40.61938150107638)
7,-3_J1noE14rnXJQAOutg0g,5,0,5,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.629372,-73.972852,POINT (-73.972852 40.629372),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-3_J1noE14rnXJQAOutg0g,2020-11,POINT (-73.972852 40.629372)
8,-3mapvN5liLdwmIa0IreSQ,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,40.6129509705375,-73.94375846764223,POINT (-73.94375846764223 40.6129509705375),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-3mapvN5liLdwmIa0IreSQ,2019-10,POINT (-73.94375846764223 40.6129509705375)
9,-4-VoYneUVZ9yWRDBGhEXw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.69666425046384,-73.93478186843345,POINT (-73.93478186843345 40.69666425046384),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-4-VoYneUVZ9yWRDBGhEXw,2020-11,POINT (-73.93478186843345 40.69666425046384)
10,-4FkkIbALjSxxgzxg-ssNg,1,0,0,0,0,0,0,All disagree,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,40.7061494,-73.9656547,POINT (-73.9656547 40.7061494),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-4FkkIbALjSxxgzxg-ssNg,2020-11,POINT (-73.9656547 40.7061494)
11,-4VW6uRzAgbhI_gYKrTxDQ,7,0,7,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.67201210342986,-73.90359040904946,POINT (-73.90359040904946 40.67201210342986),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-4VW6uRzAgbhI_gYKrTxDQ,2019-07,POINT (-73.90359040904946 40.67201210342986)
12,-5NKSpwE4JCbQN4Nvb_wTA,0,0,0,0,0,0,0,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,40.66163783221454,-73.9192874890202,POINT (-73.9192874890202 40.66163783221454),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-5NKSpwE4JCbQN4Nvb_wTA,2019-05,POINT (-73.9192874890202 40.66163783221454)
13,-5Y0fSD1h3ZN9IsL5O57BA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,2 vs 1,40.63976156387372,-73.95222291368476,POINT (-73.95222291368476 40.63976156387372),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-5Y0fSD1h3ZN9IsL5O57BA,2020-11,POINT (-73.95222291368476 40.63976156387372)
14,-5glHHIZAr0nK_XUS8isTw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.68053031683477,-73.89231960679406,POINT (-73.89231960679406 40.68053031683477),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-5glHHIZAr0nK_XUS8isTw,2014-10,POINT (-73.89231960679406 40.68053031683477)
15,-694MYTbjy9EXcMHPlP6lw,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.67575133866482,-73.95975884133387,POINT (-73.95975884133387 40.67575133866482),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-694MYTbjy9EXcMHPlP6lw,2020-11,POINT (-73.95975884133387 40.67575133866482)
16,-6NYm7MpqO9KrU-FXFUDPw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.66154125442547,-73.86001787902669,POINT (-73.86001787902669 40.66154125442547),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-6NYm7MpqO9KrU-FXFUDPw,2020-11,POINT (-73.86001787902669 40.66154125442547)
