the_geom,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.99093201741492 40.70076621604872, -73.99087453758065 40.700673117295885, -73.99083516173282 40.70056976226389, -73.99081766426953 40.700462293323035, -73.99082272096501 40.70035475430939, -73.99084157918823 40.700281257089955, -73.99102958067765 40.69984717061789, -73.99124033141216 40.69936760206604, -73.99128668119955 40.699234791145244, -73.99132676808503 40.699100804926964, -73.99136054094231 40.698965814422024, -73.9913879567048 40.69882999192191, -73.99140898017501 40.698693510528, -73.99142358479314 40.698556544690135, -73.9914317519589 40.698419269217794, -73.99143347128839 40.69828185931465, -73.99142289758245 40.697780992822736, -73.99136812163775 40.69701375273576, -73.99142869782403 40.69703075893922, -73.99192785507181 40.69717086812805, -73.99212341678988 40.69722576060661, -73.99301822153384 40.697462364566825, -73.99270830309769 40.6980992598135, -73.9942921101263 40.69853508050367, -73.99514512536665 40.69877384567196, -73.99600111730061 40.69900720956615, -73.99652829636503 40.69915999930807, -73.9965829584545 40.69917584098133, -73.99662062049501 40.69918626011099, -73.99667548461566 40.69920371352596, -73.99669703027494 40.699210675406455, -73.99671839953982 40.69927301793625, -73.9967589999209 40.699480000853185, -73.99681699957372 40.699546000335374, -73.99694599957675 40.69961800017432, -73.99709599980491 40.699667000918865, -73.99732125036854 40.69954397269394, -73.9974989831 40.69963886932127, -73.99736745811686 40.69963423492978, -73.99716054243922 40.69979281264415, -73.99718148446385 40.69999448496812, -73.99717584355882 40.700105991966375, -73.99724462871697 40.70014140989709, -73.99669768931427 40.700876976917066, -73.99661736129626 40.70098500803134, -73.99649829067575 40.70114490802807, -73.99628992163414 40.701425176037134, -73.99621639402842 40.70152407366708, -73.99538448382651 40.70264301006588, -73.99526015183422 40.70281020903622, -73.99513826840686 40.702974114722885, -73.99506438491512 40.703100313653536, -73.99504592748325 40.703131839799596, -73.99470923355177 40.70299388612212, -73.99438297835572 40.70288600142066, -73.99432513683006 40.70286243588559, -73.99418494791583 40.70280579883791, -73.99385200191081 40.70267390983319, -73.99381755009193 40.7026603093037, -73.99329920566716 40.7024319405711, -73.99316590451284 40.702365224411515, -73.99292459908979 40.7022370067991, -73.99282864750025 40.70218477794356, -73.99261204906382 40.70206112900611, -73.99232767790768 40.7018553699125, -73.9922201371623 40.70177366252483, -73.99211067788659 40.70169344371858, -73.99206681926401 40.70165886040821, -73.9920277279279 40.70162814159385, -73.99193644935963 40.70155640963392, -73.99126294547844 40.701027102639856, -73.99093201741492 40.70076621604872)))",1,3,Brooklyn,100,3000100,,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047000100,6611.44396,2224101.052
"MULTIPOLYGON (((-74.00628090556296 40.655429513271905, -74.00686620808418 40.65486509958063, -74.00728782522968 40.65445913798664, -74.00742301866845 40.65432896849724, -74.00752834555375 40.65420533892772, -74.00760371409778 40.65411686686444, -74.00771679889064 40.65401092289088, -74.00780228846848 40.65393083362863, -74.00790103186777 40.65383832620368, -74.00800601697439 40.653739955777446, -74.00859901178521 40.65318596879034, -74.00917904779216 40.65261998506074, -74.00975895767151 40.6520620219757, -74.0103540266597 40.65150200954971, -74.01062949575936 40.651231368702916, -74.01092196312693 40.6509440240149, -74.01149956044887 40.65037686652297, -74.01207536202571 40.649811516759314, -74.01266264794644 40.649255554781675, -74.01275640512642 40.64931326779317, -74.01283184632489 40.64935969890647, -74.01290939188328 40.64940478816753, -74.01298705619367 40.64945600085583, -74.01518316159795 40.65077311745767, -74.01459619036928 40.65133303511581, -74.01401144651538 40.65189503134334, -74.01343052150185 40.65245378177404, -74.01284820202174 40.65300425282661, -74.01504808448803 40.65436262404307, -74.01449176552399 40.65492372653813, -74.01389475641768 40.655465874747506, -74.01168429603449 40.65413435540903, -74.01110317971127 40.654695137800765, -74.01049297985553 40.65527570478382, -74.01036623196426 40.65540165288468, -74.00966867726969 40.6560948060482, -74.00937949179374 40.656371945819714, -74.00878937691965 40.65696299195166, -74.00659158337982 40.65561273365182, -74.00651370395863 40.65556685682006, -74.00643582464447 40.65552097893018, -74.00635370035691 40.655472446403294, -74.00628090556296 40.655429513271905)))",2,3,Brooklyn,200,3000200,,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),36047000200,9075.285121,2952085.247
"MULTIPOLYGON (((-73.9942921101263 40.69853508050367, -73.99460471371123 40.69788875288607, -73.99532576622259 40.69637864305878, -73.99554669265613 40.69589267264128, -73.99585487317633 40.69522062160498, -73.99617348165155 40.69455632470748, -73.99641650931223 40.69404730047, -73.99645485886953 40.69396695787661, -73.9967170257997 40.6934393277962, -73.99760875872416 40.69360030740545, -73.99831025701906 40.69373069467353, -73.99907181580835 40.693851139434656, -73.99913183454542 40.693861027033535, -73.99920975459614 40.693880010456574, -73.99923561695182 40.69388638672305, -73.99957713833702 40.69397755269179, -74.00059044170503 40.69429377895698, -74.00062795916058 40.69427576035279, -74.00066267093335 40.694254735306444, -74.00074025955048 40.69427584596185, -74.00078295275675 40.69428651566463, -74.00070104745139 40.69438785634227, -74.00026872311757 40.694965802577954, -73.99988214960378 40.69560519924565, -73.99959546796508 40.69606503883665, -73.99946143448636 40.69628002660434, -73.9994197190206 40.69634693781854, -73.99941302433207 40.69635767645331, -73.99952373837482 40.696574826543454, -73.99947406754572 40.696704134462024, -73.99929468836194 40.69679512579408, -73.99918198950829 40.69688518856737, -73.99899604139195 40.69681227837299, -73.99893968968655 40.69694094051582, -73.99887207210419 40.69692378457418, -73.99876458027705 40.697120733094, -73.99887117097656 40.697157577295854, -73.99837760685772 40.69806329614612, -73.99802102725111 40.69876173657382, -73.99799957540132 40.69879768554431, -73.9974989831 40.69963886932127, -73.99732125036854 40.69954397269394, -73.99709599980491 40.699667000918865, -73.99694599957675 40.69961800017432, -73.99681699957372 40.699546000335374, -73.9967589999209 40.699480000853185, -73.99671839953982 40.69927301793625, -73.99669703027494 40.699210675406455, -73.99667548461566 40.69920371352596, -73.99662062049501 40.69918626011099, -73.9965829584545 40.69917584098133, -73.99652829636503 40.69915999930807, -73.99600111730061 40.69900720956615, -73.99514512536665 40.69877384567196, -73.9942921101263 40.69853508050367)))",3.01,3,Brooklyn,301,3000301,,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047000301,6525.111338,2164337.284
"MULTIPOLYGON (((-73.99301822153384 40.697462364566825, -73.99378519586247 40.6958701947754, -73.9939781073281 40.695462956634486, -73.99429815724346 40.69479168667164, -73.99461862467244 40.694119874500615, -73.994829170219 40.693673535949536, -73.99508016977992 40.69314721511914, -73.99592548140669 40.69330093811047, -73.9967170257997 40.6934393277962, -73.99645485886953 40.69396695787661, -73.99641650931223 40.69404730047, -73.99617348165155 40.69455632470748, -73.99585487317633 40.69522062160498, -73.99554669265613 40.69589267264128, -73.99532576622259 40.69637864305878, -73.99460471371123 40.69788875288607, -73.9942921101263 40.69853508050367, -73.99270830309769 40.6980992598135, -73.99301822153384 40.697462364566825)))",5.01,3,Brooklyn,501,3000501,,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047000501,4828.170276,901507.0302
"MULTIPOLYGON (((-73.99136812163775 40.69701375273576, -73.9912841368775 40.696588209781176, -73.99123105531976 40.696431260462425, -73.99119642542902 40.69632448310864, -73.99117494990459 40.696251353107456, -73.99115271312645 40.696184466954, -73.99080803711358 40.6950271337944, -73.99073995964307 40.69503174773614, -73.99060604670535 40.69457195370587, -73.99066605587349 40.69456882398402, -73.99072417000617 40.69456690245299, -73.9920998223127 40.69494737177566, -73.99242347235777 40.69427608913544, -73.99274366054779 40.693604804137514, -73.9931030002379 40.692845855973054, -73.99418622274756 40.69300881892651, -73.99508016977992 40.69314721511914, -73.994829170219 40.693673535949536, -73.99461862467244 40.694119874500615, -73.99429815724346 40.69479168667164, -73.9939781073281 40.695462956634486, -73.99378519586247 40.6958701947754, -73.99301822153384 40.697462364566825, -73.99212341678988 40.69722576060661, -73.99192785507181 40.69717086812805, -73.99142869782403 40.69703075893922, -73.99136812163775 40.69701375273576)))",5.02,3,Brooklyn,502,3000502,,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047000502,4902.479685,1041529.091
"MULTIPOLYGON (((-73.9967170257997 40.6934393277962, -73.99592548140669 40.69330093811047, -73.99508016977992 40.69314721511914, -73.99418622274756 40.69300881892651, -73.9931030002379 40.692845855973054, -73.99343759861307 40.69215444354652, -73.99373659724 40.69153504266603, -73.99404558845782 40.69089726137321, -73.99436092830202 40.690239480084365, -73.99623278100582 40.69075777458638, -73.9977692437901 40.69119469786078, -73.99803048644992 40.691253722876255, -73.9984527178269 40.69136998347758, -73.99893829000436 40.691495145034494, -73.99910057338587 40.69153697449648, -73.99920161872038 40.69157183434764, -73.99928819562555 40.691593959927125, -73.9993654019507 40.69161307827291, -73.99951274139042 40.6916514503089, -73.99991517366627 40.691767230010356, -74.00019040320167 40.69189644713022, -74.00062303464179 40.692041490667535, -74.00058547434564 40.69212586286186, -74.0010471755208 40.692264598414816, -74.0016172746772 40.692549071104125, -74.00169989372672 40.69238276713661, -74.00174362045013 40.692406749705526, -74.00154172920257 40.69278596275018, -74.00127014902642 40.69329606217635, -74.00095868416989 40.69406908358225, -74.00078295275675 40.69428651566463, -74.00074025955048 40.69427584596185, -74.00066267093335 40.694254735306444, -74.00062795916058 40.69427576035279, -74.00059044170503 40.69429377895698, -73.99957713833702 40.69397755269179, -73.99923561695182 40.69388638672305, -73.99920975459614 40.693880010456574, -73.99913183454542 40.693861027033535, -73.99907181580835 40.693851139434656, -73.99831025701906 40.69373069467353, -73.99760875872416 40.69360030740545, -73.9967170257997 40.6934393277962)))",7,3,Brooklyn,700,3000700,,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047000700,6253.288481,1881577.59
"MULTIPOLYGON (((-73.99066605587349 40.69456882398402, -73.99044474094237 40.69382825143364, -73.99045286506295 40.693720584776585, -73.99058794464068 40.69339137896956, -73.99072896048501 40.69304770144763, -73.99085041475469 40.69279825064946, -73.9909718689958 40.692548800888, -73.99066626290956 40.69249717706313, -73.9894723855446 40.69229549434766, -73.98910541743076 40.692153313522134, -73.98902944765034 40.69212386101751, -73.98893356311622 40.69208664148629, -73.98910377229589 40.69142157052611, -73.98920727624693 40.691016716907804, -73.98922003584656 40.69096597119588, -73.9896394937112 40.69032670842071, -73.98988094899228 40.68999311238723, -73.99009014908059 40.689704078883246, -73.99047488128589 40.68914107450499, -73.99070669558942 40.689136744110684, -73.9923636697722 40.68969012377696, -73.99436092830202 40.690239480084365, -73.99404558845782 40.69089726137321, -73.99373659724 40.69153504266603, -73.99343759861307 40.69215444354652, -73.9931030002379 40.692845855973054, -73.99274366054779 40.693604804137514, -73.99242347235777 40.69427608913544, -73.9920998223127 40.69494737177566, -73.99072417000617 40.69456690245299, -73.99066605587349 40.69456882398402)))",9,3,Brooklyn,900,3000900,,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047000900,5930.081771,1769269.506
"MULTIPOLYGON (((-73.9851430602362 40.69488514296976, -73.98516822349798 40.69435907630046, -73.98519903380242 40.693715501756685, -73.98523569188234 40.69304536291666, -73.9852415782074 40.692925860853485, -73.98527941476607 40.69215769710569, -73.98536391896904 40.69066661360519, -73.98633134976359 40.691050510630774, -73.9864643625357 40.691103611272666, -73.9873478742009 40.69145766793748, -73.98820955842315 40.69180575444032, -73.98893356311622 40.69208664148629, -73.98902944765034 40.69212386101751, -73.98910541743076 40.692153313522134, -73.9894723855446 40.69229549434766, -73.99066626290956 40.69249717706313, -73.9909718689958 40.692548800888, -73.99085041475469 40.69279825064946, -73.99072896048501 40.69304770144763, -73.99058794464068 40.69339137896956, -73.99045286506295 40.693720584776585, -73.99044474094237 40.69382825143364, -73.99066605587349 40.69456882398402, -73.99060604670535 40.69457195370587, -73.99073995964307 40.69503174773614, -73.99009114957468 40.695075764788484, -73.98902945140203 40.69502921113773, -73.98891478369471 40.69502350036718, -73.98884531151906 40.695021530569235, -73.98875574890583 40.69501835106364, -73.9886134895644 40.69501329500621, -73.98716132813911 40.69496169586323, -73.9866946732433 40.69494400055421, -73.98616899959613 40.69492406481105, -73.9851430602362 40.69488514296976)))",11,3,Brooklyn,1100,3001100,,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047001100,5758.212823,1811205.71
"MULTIPOLYGON (((-73.98050926182286 40.697446275041266, -73.98040961517154 40.696559343582486, -73.9804026979021 40.696502105188195, -73.98039561728852 40.69644349002572, -73.98038723466327 40.69638291155534, -73.98037063437809 40.696263050295784, -73.98035682887041 40.69617751652864, -73.98031019801152 40.69590599500552, -73.98028186695954 40.69563211177491, -73.98025366044364 40.695457259658106, -73.98022973272087 40.695288993095474, -73.98015574549163 40.694810117667, -73.98013518053021 40.6946980172083, -73.98009475106309 40.694587004751064, -73.98003475121362 40.69448012178475, -73.97995651774366 40.694380294712204, -73.9798623695844 40.69429009176178, -73.97975539198293 40.6942114765232, -73.97961647687823 40.694115583292664, -73.97961635848877 40.69411550202093, -73.97961626408996 40.69411542192613, -73.97949074477856 40.69400713991974, -73.97949061495265 40.69400703117135, -73.9794904967975 40.694006904834644, -73.97938094116243 40.69388775687711, -73.97928966964369 40.69375999399421, -73.9792895743799 40.69375986715884, -73.97928950376674 40.693759742003174, -73.97921815587297 40.6936260029227, -73.97921806216424 40.69362583102269, -73.97921799156828 40.693625651588114, -73.97916718405033 40.693488323221196, -73.98011299221434 40.693523880536986, -73.98098333130694 40.69355661741368, -73.98147150248715 40.69357493541415, -73.98154757038635 40.69357778957021, -73.98175316942715 40.693583385433236, -73.98226689746069 40.69360477555588, -73.98234987449536 40.6936078882382, -73.98243008702806 40.69360622791861, -73.98251091353792 40.69360661080039, -73.98250905271699 40.69365901693541, -73.98248137655509 40.69422688110386, -73.98245350718793 40.694796126961066, -73.98326603579439 40.69481594717861, -73.9837995266719 40.69483589292669, -73.98392531565683 40.69483888266752, -73.98403180723672 40.6948458674678, -73.98420403256598 40.69485346464383, -73.9851430602362 40.69488514296976, -73.98508869109814 40.695963040361306, -73.9845760151311 40.695945026430884, -73.98463109249715 40.696038614397956, -73.98463126983287 40.696038921331706, -73.98468101435945 40.696122962854396, -73.98496357072004 40.69676276098604, -73.98500750428713 40.696853276531016, -73.9849563059492 40.6969239420839, -73.98487337432377 40.69693673666654, -73.98503537760573 40.69728907396755, -73.98497855747519 40.69761789852894, -73.98494150196495 40.69844434683422, -73.98399562238917 40.698413971304824, -73.98314891632944 40.698381657740306, -73.98305147125492 40.698377933540435, -73.98305797554389 40.69829607731829, -73.98311794039952 40.697542042617194, -73.98227354251817 40.69750630069847, -73.98220436403746 40.69750337169735, -73.98210986525405 40.69749936838974, -73.98201901055035 40.697496579811755, -73.98050926182286 40.697446275041266)))",15.01,3,Brooklyn,1501,3001501,,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047001501,6693.224944,1776324.904
"MULTIPOLYGON (((-73.98251091353792 40.69360661080039, -73.9825116159225 40.69356279395289, -73.98251747505026 40.69297738730441, -73.98175889043786 40.692955172537104, -73.98177533905785 40.69246763606434, -73.98179025817392 40.6920254159858, -73.98178907346113 40.691644867884484, -73.98206215661281 40.69131209107176, -73.98142302113332 40.68998579484942, -73.98139773209193 40.68992867043448, -73.98147315194069 40.689931210087906, -73.98157420340716 40.689935183143035, -73.98276720110412 40.68998648110405, -73.98313467336749 40.69000227675995, -73.98350485747963 40.69000570642952, -73.98350982108113 40.68992217124936, -73.98372011148608 40.69000671862532, -73.98407034048402 40.69014307903221, -73.98443216329215 40.69029217219347, -73.98510411955061 40.69056114536615, -73.98536391896904 40.69066661360519, -73.98527941476607 40.69215769710569, -73.9852415782074 40.692925860853485, -73.98523569188234 40.69304536291666, -73.98519903380242 40.693715501756685, -73.98516822349798 40.69435907630046, -73.9851430602362 40.69488514296976, -73.98420403256598 40.69485346464383, -73.98403180723672 40.6948458674678, -73.98392531565683 40.69483888266752, -73.9837995266719 40.69483589292669, -73.98326603579439 40.69481594717861, -73.98245350718793 40.694796126961066, -73.98248137655509 40.69422688110386, -73.98250905271699 40.69365901693541, -73.98251091353792 40.69360661080039)))",15.02,3,Brooklyn,1502,3001502,,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),36047001502,5512.190989,1520130.885
