,Name,Latitude,Longitude,Zip_Code,Borough,geometry_layer,wkt,geometry
0,100.12.110.237 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
1,100.2.171.33 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
2,100.2.223.120 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
3,100.2.223.225 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
4,100.33.242.212 ,40.70246124,-73.9878006,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.9878006 40.70246124 0),POINT (-73.9878006 40.70246124)
5,100.33.242.240 ,40.70257187,-73.99208069,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99208069 40.70257187 0),POINT (-73.99208069 40.70257187)
6,100.33.242.54 ,40.68864059,-73.9940033,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.9940033 40.68864059 0),POINT (-73.9940033 40.68864059)
7,100.37.214.18 ,40.69839096,-73.9839325,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.9839325 40.69839096 0),POINT (-73.9839325 40.69839096)
8,100.38.248.7 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
9,108.14.192.13 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
10,108.14.251.66 ,40.69459915,-73.99063873,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.99063873 40.69459915 0),POINT (-73.99063873 40.69459915)
11,108.27.227.123 ,40.70352936,-73.98963165,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.98963165 40.70352936 0),POINT (-73.98963165 40.70352936)
12,108.29.111.193 ,40.698349,-73.98651123,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.98651123 40.698349 0),POINT (-73.98651123 40.698349)
13,108.29.119.244 ,40.62322998,-73.91059875,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.91059875 40.62322998 0),POINT (-73.91059875 40.62322998)
14,108.29.124.98 ,40.68867874,-73.98355865,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.98355865 40.68867874 0),POINT (-73.98355865 40.68867874)
15,108.29.37.101 ,40.70294189,-73.98193359,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.98193359 40.70294189 0),POINT (-73.98193359 40.70294189)
16,108.30.122.241 ,40.69266891,-73.97769165,11201.0,Brooklyn,Hikvision: Brooklyn (Layer 1 of 3),POINT Z (-73.97769165 40.69266891 0),POINT (-73.97769165 40.69266891)
